NUM_THREADS,ROW_N,COL_N,BLOCK_ROW_N,BLOCK_COL_N,time
1,512,512,8,8,0.002266
1,512,512,32,32,0.002172
1,512,512,128,128,0.002152
2,512,512,8,8,0.004702
2,512,512,32,32,0.004169
2,512,512,128,128,0.001363
4,512,512,8,8,0.007144
4,512,512,32,32,0.003136
4,512,512,128,128,0.000933
8,512,512,8,8,0.010676
8,512,512,32,32,0.003645
8,512,512,128,128,0.000563
16,512,512,8,8,0.014221
16,512,512,32,32,0.004551
16,512,512,128,128,0.000389
32,512,512,8,8,0.015869
32,512,512,32,32,0.003862
32,512,512,128,128,0.000442
64,512,512,8,8,0.017005
64,512,512,32,32,0.004710
64,512,512,128,128,0.000436
