NUM_THREADS,ROW_N,COL_N,BLOCK_ROW_N,BLOCK_COL_N,time
1,512,512,8,8,0.002253
1,512,512,32,32,0.002172
1,512,512,128,128,0.002152
2,1024,512,16,8,0.006274
2,1024,512,64,32,0.005176
2,1024,512,256,128,0.002950
4,2048,512,32,8,0.012030
4,2048,512,128,32,0.007771
4,2048,512,512,128,0.003941
8,4096,512,64,8,0.028767
8,4096,512,256,32,0.007194
8,4096,512,1024,128,0.004194
16,8192,512,128,8,0.034390
16,8192,512,512,32,0.008099
16,8192,512,2048,128,0.005165
32,16384,512,256,8,0.027563
32,16384,512,1024,32,0.009553
32,16384,512,4096,128,0.010824
64,32768,512,512,8,0.034587
64,32768,512,2048,32,0.023739
64,32768,512,8192,128,0.025267
