NUM_THREADS,ROW_N,COL_N,BLOCK_ROW_N,BLOCK_COL_N,DENSITY,time
1,512,512,8,8,0.200000,0.058344
1,512,512,32,32,0.200000,0.024045
1,512,512,128,128,0.200000,0.016180
1,512,512,8,8,0.500000,0.102338
1,512,512,32,32,0.500000,0.050393
1,512,512,128,128,0.500000,0.038117
1,512,512,8,8,0.800000,0.145712
1,512,512,32,32,0.800000,0.076473
1,512,512,128,128,0.800000,0.060070
2,1024,512,16,8,0.200000,0.342940
2,1024,512,64,32,0.200000,0.117984
2,1024,512,256,128,0.200000,0.066156
2,1024,512,16,8,0.500000,0.446948
2,1024,512,64,32,0.500000,0.205775
2,1024,512,256,128,0.500000,0.143227
2,1024,512,16,8,0.800000,0.575917
2,1024,512,64,32,0.800000,0.299090
2,1024,512,256,128,0.800000,0.226906
4,2048,512,32,8,0.200000,0.921835
4,2048,512,128,32,0.200000,0.298771
4,2048,512,512,128,0.200000,0.148418
4,2048,512,32,8,0.500000,1.212823
4,2048,512,128,32,0.500000,0.509683
4,2048,512,512,128,0.500000,0.318618
4,2048,512,32,8,0.800000,1.531838
4,2048,512,128,32,0.800000,0.690623
4,2048,512,512,128,0.800000,0.489175
8,4096,512,64,8,0.200000,2.411893
8,4096,512,256,32,0.200000,0.711164
8,4096,512,1024,128,0.200000,0.302176
8,4096,512,64,8,0.500000,2.797634
8,4096,512,256,32,0.500000,1.027382
8,4096,512,1024,128,0.500000,0.587733
8,4096,512,64,8,0.800000,3.288590
8,4096,512,256,32,0.800000,1.408889
8,4096,512,1024,128,0.800000,0.897683
16,8192,512,128,8,0.200000,7.630471
16,8192,512,512,32,0.200000,2.154094
16,8192,512,2048,128,0.200000,0.783338
16,8192,512,128,8,0.500000,8.549109
16,8192,512,512,32,0.500000,2.784875
16,8192,512,2048,128,0.500000,1.300210
16,8192,512,128,8,0.800000,9.432978
16,8192,512,512,32,0.800000,3.398038
16,8192,512,2048,128,0.800000,1.825311
32,16384,512,256,8,0.200000,23.768314
32,16384,512,1024,32,0.200000,6.447651
32,16384,512,4096,128,0.200000,2.100804
32,16384,512,256,8,0.500000,25.586729
32,16384,512,1024,32,0.500000,7.674294
32,16384,512,4096,128,0.500000,3.082617
32,16384,512,256,8,0.800000,27.405655
32,16384,512,1024,32,0.800000,8.909101
32,16384,512,4096,128,0.800000,4.117392
64,32768,512,512,8,0.200000,83.895279
64,32768,512,2048,32,0.200000,21.952114
64,32768,512,8192,128,0.200000,6.440891
64,32768,512,512,8,0.500000,87.800606
64,32768,512,2048,32,0.500000,24.524918
64,32768,512,8192,128,0.500000,8.471879
64,32768,512,512,8,0.800000,91.633942
64,32768,512,2048,32,0.800000,27.132679
64,32768,512,8192,128,0.800000,10.567699
