NUM_THREADS,ROW_N_A,COL_N_A,COL_N_B,time
1,32,256,32,0.001402
1,128,16,128,0.001416
1,64,64,64,0.001410
2,64,256,32,0.002101
2,256,16,128,0.001569
2,128,64,64,0.001671
4,128,256,32,0.002102
4,512,16,128,0.001439
4,256,64,64,0.001875
8,256,256,32,0.001508
8,1024,16,128,0.001522
8,512,64,64,0.001548
16,512,256,32,0.001566
16,2048,16,128,0.001576
16,1024,64,64,0.001599
32,1024,256,32,0.001562
32,4096,16,128,0.001583
32,2048,64,64,0.001580
64,2048,256,32,0.002383
64,8192,16,128,0.001856
64,4096,64,64,0.001787
