NUM_THREADS,ROW_N_A,COL_N_A,COL_N_B,DENSITY,time
1,32,256,32,0.200000,0.001867
1,128,16,128,0.200000,0.003299
1,64,64,64,0.200000,0.002289
1,32,256,32,0.500000,0.003902
1,128,16,128,0.500000,0.010120
1,64,64,64,0.500000,0.003863
1,32,256,32,0.800000,0.004584
1,128,16,128,0.800000,0.010352
1,64,64,64,0.800000,0.004803
2,64,256,32,0.200000,0.002951
2,256,16,128,0.200000,0.007456
2,128,64,64,0.200000,0.002792
2,64,256,32,0.500000,0.005586
2,256,16,128,0.500000,0.020749
2,128,64,64,0.500000,0.005538
2,64,256,32,0.800000,0.006755
2,256,16,128,0.800000,0.017517
2,128,64,64,0.800000,0.006292
4,128,256,32,0.200000,0.003720
4,512,16,128,0.200000,0.021520
4,256,64,64,0.200000,0.005695
4,128,256,32,0.500000,0.006273
4,512,16,128,0.500000,0.036711
4,256,64,64,0.500000,0.006677
4,128,256,32,0.800000,0.007464
4,512,16,128,0.800000,0.036028
4,256,64,64,0.800000,0.007446
8,256,256,32,0.200000,0.004939
8,1024,16,128,0.200000,0.040587
8,512,64,64,0.200000,0.009908
8,256,256,32,0.500000,0.006861
8,1024,16,128,0.500000,0.070660
8,512,64,64,0.500000,0.009798
8,256,256,32,0.800000,0.008011
8,1024,16,128,0.800000,0.080761
8,512,64,64,0.800000,0.009749
16,512,256,32,0.200000,0.009055
16,2048,16,128,0.200000,0.098835
16,1024,64,64,0.200000,0.024050
16,512,256,32,0.500000,0.009517
16,2048,16,128,0.500000,0.152215
16,1024,64,64,0.500000,0.032830
16,512,256,32,0.800000,0.009833
16,2048,16,128,0.800000,0.261999
16,1024,64,64,0.800000,0.039220
32,1024,256,32,0.200000,0.015962
32,4096,16,128,0.200000,0.170807
32,2048,64,64,0.200000,0.042866
32,1024,256,32,0.500000,0.014953
32,4096,16,128,0.500000,0.379422
32,2048,64,64,0.500000,0.101726
32,1024,256,32,0.800000,0.020855
32,4096,16,128,0.800000,0.416483
32,2048,64,64,0.800000,0.074571
64,2048,256,32,0.200000,0.036989
64,8192,16,128,0.200000,0.397123
64,4096,64,64,0.200000,0.136138
64,2048,256,32,0.500000,0.048747
64,8192,16,128,0.500000,0.713759
64,4096,64,64,0.500000,0.150938
64,2048,256,32,0.800000,0.061265
64,8192,16,128,0.800000,0.855677
64,4096,64,64,0.800000,0.151861
