NUM_THREADS,ROW_N,COL_N,DENSITY,time
1,16,16384,0.200000,0.001039
1,16384,16,0.200000,0.012661
1,512,512,0.200000,0.001347
1,16,16384,0.500000,0.002474
1,16384,16,0.500000,0.013966
1,512,512,0.500000,0.002860
1,16,16384,0.800000,0.003956
1,16384,16,0.800000,0.015604
1,512,512,0.800000,0.004345
2,16,16384,0.200000,0.000830
2,16384,16,0.200000,0.044620
2,512,512,0.200000,0.002414
2,16,16384,0.500000,0.001906
2,16384,16,0.500000,0.048889
2,512,512,0.500000,0.004042
2,16,16384,0.800000,0.003080
2,16384,16,0.800000,0.052961
2,512,512,0.800000,0.005739
4,16,16384,0.200000,0.000857
4,16384,16,0.200000,0.063412
4,512,512,0.200000,0.002893
4,16,16384,0.500000,0.001736
4,16384,16,0.500000,0.070818
4,512,512,0.500000,0.004403
4,16,16384,0.800000,0.002453
4,16384,16,0.800000,0.074740
4,512,512,0.800000,0.005071
8,16,16384,0.200000,0.000767
8,16384,16,0.200000,0.089593
8,512,512,0.200000,0.003506
8,16,16384,0.500000,0.001488
8,16384,16,0.500000,0.101695
8,512,512,0.500000,0.004576
8,16,16384,0.800000,0.002086
8,16384,16,0.800000,0.100950
8,512,512,0.800000,0.004948
16,16,16384,0.200000,0.000714
16,16384,16,0.200000,0.133056
16,512,512,0.200000,0.004649
16,16,16384,0.500000,0.001330
16,16384,16,0.500000,0.141595
16,512,512,0.500000,0.005346
16,16,16384,0.800000,0.001587
16,16384,16,0.800000,0.154517
16,512,512,0.800000,0.006193
32,16,16384,0.200000,0.001007
32,16384,16,0.200000,0.207559
32,512,512,0.200000,0.007898
32,16,16384,0.500000,0.001328
32,16384,16,0.500000,0.247344
32,512,512,0.500000,0.008539
32,16,16384,0.800000,0.001951
32,16384,16,0.800000,0.251611
32,512,512,0.800000,0.009003
64,16,16384,0.200000,0.001490
64,16384,16,0.200000,0.374802
64,512,512,0.200000,0.013893
64,16,16384,0.500000,0.001247
64,16384,16,0.500000,0.408524
64,512,512,0.500000,0.013117
64,16,16384,0.800000,0.001755
64,16384,16,0.800000,0.407603
64,512,512,0.800000,0.013687
