NUM_THREADS,ROW_N,COL_N,DENSITY,time
1,16,16384,0.200000,0.001028
1,16384,16,0.200000,0.012672
1,512,512,0.200000,0.001327
1,16,16384,0.500000,0.002463
1,16384,16,0.500000,0.014153
1,512,512,0.500000,0.002852
1,16,16384,0.800000,0.003948
1,16384,16,0.800000,0.015611
1,512,512,0.800000,0.004348
2,32,16384,0.200000,0.002068
2,32768,16,0.200000,0.088303
2,1024,512,0.200000,0.005063
2,32,16384,0.500000,0.003761
2,32768,16,0.500000,0.091258
2,1024,512,0.500000,0.007757
2,32,16384,0.800000,0.005424
2,32768,16,0.800000,0.102408
2,1024,512,0.800000,0.010996
4,64,16384,0.200000,0.002858
4,65536,16,0.200000,0.252576
4,2048,512,0.200000,0.011417
4,64,16384,0.500000,0.005224
4,65536,16,0.500000,0.267951
4,2048,512,0.500000,0.015276
4,64,16384,0.800000,0.007582
4,65536,16,0.800000,0.275853
4,2048,512,0.800000,0.018048
8,128,16384,0.200000,0.004469
8,131072,16,0.200000,0.702697
8,4096,512,0.200000,0.025365
8,128,16384,0.500000,0.008836
8,131072,16,0.500000,0.775887
8,4096,512,0.500000,0.030799
8,128,16384,0.800000,0.012021
8,131072,16,0.800000,0.758226
8,4096,512,0.800000,0.035295
16,256,16384,0.200000,0.007651
16,262144,16,0.200000,2.193619
16,8192,512,0.200000,0.073867
16,256,16384,0.500000,0.015840
16,262144,16,0.500000,2.383287
16,8192,512,0.500000,0.084696
16,256,16384,0.800000,0.020023
16,262144,16,0.800000,2.511099
16,8192,512,0.800000,0.085990
32,512,16384,0.200000,0.015021
32,524288,16,0.200000,7.316540
32,16384,512,0.200000,0.225338
32,512,16384,0.500000,0.026759
32,524288,16,0.500000,7.856837
32,16384,512,0.500000,0.378749
32,512,16384,0.800000,0.037485
32,524288,16,0.800000,7.947638
32,16384,512,0.800000,0.261837
64,1024,16384,0.200000,0.033092
64,1048576,16,0.200000,24.703762
64,32768,512,0.200000,0.907678
64,1024,16384,0.500000,0.059304
64,1048576,16,0.500000,27.342255
64,32768,512,0.500000,0.814316
64,1024,16384,0.800000,0.079523
64,1048576,16,0.800000,27.231117
64,32768,512,0.800000,0.846799
